"            Time" , "          CO2" ,
"2015-01-01 00:00" ,        400.18  ,
"2015-02-01 00:00" ,        400.55  ,
"2015-03-01 00:00" ,        401.74  ,
"2015-04-01 00:00" ,        403.35  ,
"2015-05-01 00:00" ,        404.15  ,
"2015-06-01 00:00" ,        402.97  ,
"2015-07-01 00:00" ,        401.46  ,
"2015-08-01 00:00" ,        399.11  ,
"2015-09-01 00:00" ,        397.82  ,
"2015-10-01 00:00" ,        398.49  ,
"2015-11-01 00:00" ,        400.27  ,
"2015-12-01 00:00" ,        402.06  ,
"2016-01-01 00:00" ,        402.73  ,
"2016-02-01 00:00" ,        404.25  ,
"2016-03-01 00:00" ,        405.06  ,
"2016-04-01 00:00" ,        407.6   ,
"2016-05-01 00:00" ,        407.9   ,
"2016-06-01 00:00" ,        406.99  ,
"2016-07-01 00:00" ,        404.59  ,
"2016-08-01 00:00" ,        402.45  ,
"2016-09-01 00:00" ,        401.23  ,
"2016-10-01 00:00" ,        401.79  ,
"2016-11-01 00:00" ,        403.72  ,
"2016-12-01 00:00" ,        404.64  ,
"2017-01-01 00:00" ,        406.36  ,
"2017-02-01 00:00" ,        406.66  ,
"2017-03-01 00:00" ,        407.54  ,
"2017-04-01 00:00" ,        409.22  ,
"2017-05-01 00:00" ,        409.89  ,
"2017-06-01 00:00" ,        409.08  ,
"2017-07-01 00:00" ,        407.33  ,
"2017-08-01 00:00" ,        405.32  ,
"2017-09-01 00:00" ,        403.57  ,
"2017-10-01 00:00" ,        403.82  ,
"2017-11-01 00:00" ,        405.31  ,
"2017-12-01 00:00" ,        407     ,
"2018-01-01 00:00" ,        408.15  ,
"2018-02-01 00:00" ,        408.52  ,
"2018-03-01 00:00" ,        409.59  ,
"2018-04-01 00:00" ,        410.45  ,
"2018-05-01 00:00" ,        411.44  ,
"2018-06-01 00:00" ,        410.99  ,
"2018-07-01 00:00" ,        408.9   ,
"2018-08-01 00:00" ,        407.16  ,
"2018-09-01 00:00" ,        405.71  ,
"2018-10-01 00:00" ,        406.19  ,
"2018-11-01 00:00" ,        408.21  ,
"2018-12-01 00:00" ,        409.27  ,
"2019-01-01 00:00" ,        411.03  ,
"2019-02-01 00:00" ,        411.96  ,
"2019-03-01 00:00" ,        412.18  ,
"2019-04-01 00:00" ,        413.54  ,
"2019-05-01 00:00" ,        414.86  ,
"2019-06-01 00:00" ,        414.15  ,
"2019-07-01 00:00" ,        411.96  ,
"2019-08-01 00:00" ,        410.17  ,
"2019-09-01 00:00" ,        408.76  ,
"2019-10-01 00:00" ,        408.74  ,
"2019-11-01 00:00" ,        410.47  ,
"2019-12-01 00:00" ,        411.97  ,
"2020-01-01 00:00" ,        413.59  ,
"2020-02-01 00:00" ,        414.32  ,
"2020-03-01 00:00" ,        414.72  ,
"2020-04-01 00:00" ,        416.42  ,
"2020-05-01 00:00" ,        417.28  ,
"2020-06-01 00:00" ,        416.58  ,
"2020-07-01 00:00" ,        414.58  ,
"2020-08-01 00:00" ,        412.75  ,
"2020-09-01 00:00" ,        411.5   ,
"2020-10-01 00:00" ,        411.48  ,
"2020-11-01 00:00" ,        413.1   ,
"2020-12-01 00:00" ,        414.23  ,
